"id_publicacao","link_permanente","status_messagem",status_type,Países,Idiomas,status_publicado,"Direcionamento do público","total_publicacao","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","num_pub_corres","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","num_likes","num_shares","num_comments","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - comment","num_other_cliks","num_photo_view","num_link_clicks","num_video_play","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","num_photo_view","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: comentários negativos de usuários por tipo - hide_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_clicks"
218725464821904_1974670635894036,https://www.facebook.com/faculdadecn/posts/1974670635894036,,Photo,,,"03/14/2018 04:31:00 AM"," ",124,124,0,184,184,0,4,1,1,0,0,156,104,0,0,4,0,0,0,0,0,0,0,0,0,0,3,,,3,,,,1,,,,1,,,,,,
218725464821904_1976289652398801,https://www.facebook.com/faculdadecn/posts/1976289652398801,,Photo,,,"03/13/2018 02:00:00 PM"," ",205,205,0,293,293,0,17,3,3,0,0,254,177,0,0,17,0,0,0,0,0,0,0,0,0,0,15,2,,17,2,,,3,,,,3,,,,,,
218725464821904_1976162489078184,https://www.facebook.com/faculdadecn/posts/1976162489078184,"Curso Livre de Latim 2018, com o professor Clives Sanches 📝📚 #aula #latim #cancaonova #faculdadecn",Photo,,,"03/13/2018 09:45:07 AM"," ",542,542,0,753,753,0,63,41,47,0,0,460,315,0,0,47,0,0,0,0,0,0,0,0,0,0,27,2,1,28,2,1,10,33,,,12,35,,,,,,
218725464821904_1975871825773917,https://www.facebook.com/faculdadecn/posts/1975871825773917,"Tá esperando o que para concorrer a sua bolsa? 😉

http://www.fcn.edu.br/blog/2018/03/08/programa-escola-da-familia/",Link,,,"03/13/2018 08:00:00 AM"," ",198,198,0,301,301,0,12,6,6,0,0,264,174,0,0,11,0,0,0,0,0,0,0,0,0,0,6,,1,6,,1,2,,4,,2,,4,,,,,
218725464821904_1974670239227409,https://www.facebook.com/faculdadecn/posts/1974670239227409,"Programação do 6° Simpósio Fé e Razão!
Inscreva-se: https://extensao.fcn.edu.br/simposio/vi-simposio-fe-e-razao-20-anos-depois-da-enciclica-fides-et-ratio/",Photo,,,"03/13/2018 04:30:00 AM"," ",286,286,0,417,417,0,12,9,10,0,0,254,171,0,0,11,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,1,3,6,,,3,7,,,,,,
218725464821904_1974667342561032,https://www.facebook.com/faculdadecn/posts/1974667342561032,"A Faculdade Canção Nova promove o VI Simpósio Fé e Razão, com a temática: Vinte anos depois da Encíclica Fides et Ratio.
A escolha do tema está articulada a comemoração do segundo decênio da publicação da Encíclica de S. João Paulo II, em cujo documento são ressaltados o papel e a importância seja da Filosofia, como da Teologia. O objetivo é apresentar o conteúdo da encíclica, como também ao mesmo tempo, o grande exemplo de diálogo entre fé e razão realizado por S. Tomás de Aquino e a necessidade deste diálogo continuar nos dias atuais, especialmente no campo dos meios de comunicação.

O Simpósio acontece de 19 a 21 de março de 2018, no período da manhã. A programação do primeiro dia é aberta ao público e acontece no Auditório São Paulo, na sede da Comunidade Canção Nova, em Cachoeira Paulista-SP. Para os outros dois dias as vagas são limitadas e a participação deve ser garantida por meio de inscrição no link abaixo.

OBS: alunos dos cursos de Filosofia e Teologia da Faculdade Canção Nova não precisam se inscrever no evento.

O evento também será transmitido pelas redes sociais da Faculdade Canção Nova. Acompanhe e participe!

Inscrições: até 15 de março.

Link inscrição: https://extensao.fcn.edu.br/…/vi-simposio-fe-e-razao-20-an…/",Photo,,,"03/12/2018 08:00:00 AM"," ",453,453,0,645,645,0,33,15,18,0,0,436,296,0,0,28,0,0,0,0,0,0,0,0,0,0,20,1,,21,1,,14,3,,,15,3,,,,,,
218725464821904_1969791239715309,https://www.facebook.com/faculdadecn/posts/1969791239715309,"A Faculdade Canção Nova promove, no período de 13 de março a 19 de junho, o curso livre de LATIM, ministrado pelo Prof. Clives Sanches. O curso, com duração de 20h, é dividido em dois módulos, sendo o I módulo nas seguintes datas:

1º semestre de 2018:   

 13 e 20 de março

10, 17 e 24 de abril

08, 15 e 22 de maio

12 e 19 de junho

Horário: 13h30 às 15h30.

As inscrições podem ser realizadas até o dia 12 de março preenchendo a ficha de Inscrição. As vagas são limitadas.

Investimento: Alunos/Ex-alunos/Missionários/Colaboradores da FCN, Instituto Canção Nova e FJPII: gratuito

Público externo: R$ 50,00

As atividades de extensão universitária são ótimas oportunidades de acesso ao conhecimento e qualificação. Participe!

Inscrição: https://extensao.fcn.edu.br/curso/curso-livre-de-latim-2018-modulo/",Link,,,"03/12/2018 05:19:00 AM"," ",136,136,0,206,206,0,5,5,5,0,0,170,115,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,5,,,,5,,,,,,,
218725464821904_1974707472557019,https://www.facebook.com/faculdadecn/posts/1974707472557019,"Foto da capa de ",Photo,,,"03/12/2018 05:07:06 AM"," ",190,190,0,273,273,0,11,7,9,0,0,239,168,0,0,10,0,0,0,0,0,0,0,0,0,0,5,1,,5,1,,2,5,,,2,7,,,,,,
218725464821904_1969792489715184,https://www.facebook.com/faculdadecn/posts/1969792489715184,"PROGRAMAÇÃO DO CURSO DE LATIM

I- Leitura e tradução: far-se-ão com a maior freqüência possível utilizando-se textos fáceis e graduados: provérbios, frases sentenciosas, pequenos excertos de prosa latina.

II- Gramática: Com apoio nos textos, tratar-se-á da seguinte matéria:

A frase latina: confronto de construções portuguesas e construções latinas, equivalentes pelo sentido.
O alfabeto e a pronúncia: vogais e consoantes: ditongos e grupos consonantais. A pronúncia chamada tradicional.
Prosódia: quantidade e acento.
Noções fundamentais de análise sintática, a propósito dos textos traduzidos, para conhecimento do valor e emprego dos casos.
Declinação dos substantivos, dos adjetivos qualificativos e dos possessivos.
A ordem das palavras.
Concordância do adjetivo e do aposto.
O verbo sum (ESSE) e as quatro conjugações regulares na voz ativa.

Inscrição: https://extensao.fcn.edu.br/curso/curso-livre-de-latim-2018-modulo/",Link,,,"03/10/2018 04:20:00 AM"," ",236,236,0,324,324,0,12,8,9,0,0,285,209,0,0,12,0,0,0,0,0,0,0,0,0,0,4,,,4,,,8,,1,,8,,1,,,,,
218725464821904_1969789383048828,https://www.facebook.com/faculdadecn/posts/1969789383048828,"As inscrições podem ser realizadas até o dia 12 de março!

http://www.fcn.edu.br/blog/2018/03/08/curso-livre-de-latim/",Link,,,"03/09/2018 04:17:00 AM"," ",241,241,0,347,347,0,20,12,13,0,0,253,182,0,0,19,0,0,0,0,0,0,0,0,0,0,8,1,2,8,1,2,7,,5,,8,,5,,,,,
