"Número de identificação da publicação","Link permanente","Publicar mensagem",Tipo,Países,Idiomas,Publicado,"Direcionamento do público","Vitalício: alcance total da publicação","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","Vitalício: consumidores de direcionamento do público com correspondência na publicação","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","Vitalício: Falando sobre isso (publicação) por tipo de ação - share","Vitalício: Falando sobre isso (publicação) por tipo de ação - like","Vitalício: Falando sobre isso (publicação) por tipo de ação - comment","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - comment","Consumos únicos de direcionamento para público de publicações vitalício por tipo - other clicks","Consumos únicos de direcionamento para público de publicações vitalício por tipo - photo view","Consumos únicos de direcionamento para público de publicações vitalício por tipo - video play","Consumos únicos de direcionamento para público de publicações vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","Consumos de direcionamento para público correspondente vitalício por tipo - photo view","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks"
218725464821904_2062816607079438,https://www.facebook.com/faculdadecn/posts/2062816607079438,"Foto da capa de ",Photo,,,"05/29/2018 09:47:57 AM"," ",115,115,0,151,151,0,12,10,13,0,0,147,113,0,0,9,0,0,0,0,0,0,0,0,0,0,,4,,,4,,,10,,,,13,,,,
218725464821904_2061912567169842,https://www.facebook.com/faculdadecn/posts/2061912567169842,"ATENÇÃO ALUNOS

As aulas na Faculdade Canção nova seguem suspensas. devendo retornar a sua normalidade no dia 04 de junho. As atividades administrativas estão mantidas a partir de amanhã  das 8h as 17:00.",Photo,,,"05/28/2018 11:54:34 AM"," ",898,898,0,1275,1275,0,33,20,24,1,1,678,436,0,0,28,0,0,0,0,0,0,0,0,0,0,9,14,1,9,14,2,16,5,,,19,5,,,1,1
218725464821904_2060731517287947,https://www.facebook.com/faculdadecn/posts/2060731517287947,"ATENÇÃO ALUNOS

Em razão dos problemas relacionados com a paralisação dos caminhoneiros persistirem, as aulas de amanhã, segunda-feira 28 de maio, estão suspensas nos períodos matutino e  noturno.",Photo,,,"05/27/2018 09:16:40 AM"," ",1266,1266,0,1874,1874,0,68,40,43,0,0,919,548,0,0,49,0,0,0,0,0,0,0,0,0,0,11,30,1,11,32,1,32,8,,,35,8,,,,
218725464821904_2057892537571845,https://www.facebook.com/faculdadecn/posts/2057892537571845,"Último dia!  Inscrições no site da FCN: https://extensao.fcn.edu.br",Photo,,,"05/27/2018 05:00:04 AM"," ",250,250,0,406,406,0,6,4,8,0,0,354,216,0,0,6,0,0,0,0,0,0,0,0,0,0,,2,,,2,,3,2,,1,5,2,,1,,
218725464821904_2057890994238666,https://www.facebook.com/faculdadecn/posts/2057890994238666,"Inscrições no site: https://extensao.fcn.edu.br",Photo,,,"05/26/2018 04:00:03 AM"," ",220,220,0,344,344,0,4,3,4,0,0,299,187,0,0,4,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,3,,,1,3,,,,
218725464821904_2057901637570935,https://www.facebook.com/faculdadecn/posts/2057901637570935,"Bom dia!",Photo,,,"05/25/2018 03:00:20 AM"," ",563,563,0,796,796,0,34,11,11,0,0,436,287,0,0,26,0,0,0,0,0,0,0,0,0,0,4,26,,4,26,,6,5,,,6,5,,,,
218725464821904_2057896184238147,https://www.facebook.com/faculdadecn/posts/2057896184238147,"Faculdade Canção Nova participa da 14ª Jornada Regional do Semesp

http://www.fcn.edu.br/blog/2018/05/23/faculdade-cancao-nova-participa-da-14a-jornada-regional-do-semesp/",Photo,,,"05/24/2018 07:10:36 PM"," ",275,275,0,387,387,0,22,19,22,0,0,342,237,0,0,19,0,0,0,0,0,0,0,0,0,0,,7,,,7,,3,16,,,5,17,,,,
218725464821904_2057882574239508,https://www.facebook.com/faculdadecn/posts/2057882574239508,"As inscrições para o 5° Simpósio de Iniciação Científica foram prorrogadas até o dia 27/05. Aproveite essa chance de mostrar seu trabalho. Inscreva seu resumo no portal: https://extensao.fcn.edu.br",Photo,,,"05/24/2018 06:00:48 PM"," ",235,235,0,345,345,0,6,2,2,0,0,300,201,0,0,5,0,0,0,0,0,0,0,0,0,0,,4,,,4,,,1,,1,,1,,1,,
218725464821904_2057644377596661,https://www.facebook.com/faculdadecn/posts/2057644377596661,"Foto da capa de ",Photo,,,"05/24/2018 01:06:30 PM"," ",207,207,0,304,304,0,6,3,3,0,0,260,172,0,0,6,0,0,0,0,0,0,0,0,0,0,,3,,,3,,1,2,,,1,2,,,,
218725464821904_2057480284279737,https://www.facebook.com/faculdadecn/posts/2057480284279737:0,"Último dia pra você inscrever! Vai perder a oportunidade de mostrar seu trabalho? Entre no nosso portal e poste seu resumo para o 5°Simpósio de Iniciação Científica:  https://extensao.fcn.edu.br/",Photo,,,"05/24/2018 09:39:35 AM"," ",224,224,0,327,327,0,9,1,1,0,0,280,187,0,0,8,0,0,0,0,0,0,0,0,0,0,,8,,,8,,,1,,,,1,,,,
